"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C5,C7,C9,C10,C11,C12","8","10uf","","","","Capacitor_SMD:C_1812_4532Metric","~"
"C2","1","1uf","","","","Capacitor_SMD:C_1812_4532Metric","~"
"C4","1","BFC233820334","","","","x1 emi capacitor:CAPRR1500W80L1750T850H1500P",""
"C6,C13","2","0.1uf","","","","Capacitor_SMD:C_1812_4532Metric","~"
"C8","1","150uf","","","","Capacitor_SMD:C_Elec_6.3x7.7","~"
"C14","1","1nf","","","","Capacitor_SMD:C_1812_4532Metric","~"
"D1,D3","2","LED","","","","LED_SMD:LED_1206_3216Metric","~"
"D2","1","ESD9B5.0ST5G","DNP","","Excluded from board","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF"
"D4","1","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"F1","1","Fuse_Small","","","","Fuse:Fuse_2512_6332Metric","~"
"J1,J2","2","Screw_Terminal_01x01","","","","MountingHole:MountingHole_3mm_Pad_Via","~"
"J3","1","2013499-1","DNP","","","usb micro:TE_2013499-1",""
"J4","1","Conn_01x04_Pin","","","","Connector_Molex:Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal","~"
"J5","1","5-146278-6","","","","6 pin male header:TE_5-146278-6",""
"J6","1","PPTC061LFBN-RC","","","","6 pin female header:SULLINS_PPTC061LFBN-RC",""
"J7","1","68000-103HLF","","","","3 pin male header:AMPHENOL_68000-103HLF",""
"J8","1","PPTC031LFBN-RC","","","","footprints:CONN_PPTC031_SUL","PPTC031LFBN-RC"
"JP1,JP2","2","Jumper_2_Open","","","","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~"
"PS1","1","HLK-PM01","","","","hlk-pm01:CONV_HLK-PM01",""
"Q1","1","BTA16-600B","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/bta16.pdf"
"R1,R3,R4","3","10k","","","","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"R2,R20","2","4.7k","","","","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"R5,R6","2","1M","","","","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"R7,R8,R12,R13","4","1k","","","","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"R9,R10,R15,R16,R21","5","2.2K","","","","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"R11,R14","2","22K","","","","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"R17","1","LDR07","DNP","","Excluded from board","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","http://www.tme.eu/de/Document/f2e3ad76a925811312d226c31da4cd7e/LDR07.pdf"
"R18","1","22K","DNP","","Excluded from board","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"R19","1","220","","","","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"R22,R23","2","800R","","","","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"R24,R25","2","1.2K","","","","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"RV1","1","Varistor","","","","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","kicad-embed://2410010300_SURGING-20D271KJ_C2839533.pdf"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"TP1,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP14,TP16,TP17","14","TestPoint","","","","TestPoint:TestPoint_Pad_D2.5mm","~"
"TP2,TP13","2","TestPoint_Alt","","","","TestPoint:TestPoint_Pad_4.0x4.0mm","~"
"TP15","1","TestPoint","DNP","","Excluded from board","TestPoint:TestPoint_Pad_D4.0mm","~"
"U1","1","L78M05ABDT-TR","","","","5v ldo:VREG_L78M05ABDT-TR",""
"U2","1","ESP32-C3-WROOM-02U","","","","RF_Module:ESP32-C3-WROOM-02U","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf"
"U3","1","LM1117DT-3.3","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
"U4","1","PC817","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"U5","1","LM358DT","","","","operational amplifier:SOIC127P600X175-8N",""
"U6","1","ACS712xLCTR-20A","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en"
"U7","1","HCNR200-500E","","","","high prescision optocoupler:OPTO_HCNR200-500E",""
